Primer Autor,Año,Tipo de Producto,Afiliación del Primer Autor,Journal,Publisher,Base de Datos,Citaciones
Reinholz D.L.,2024-10-01,Article,SDSU College of Sciences,Urban Education,Publisher desconocido,Scopus,3
Rempelos G.,2024-11-01,Review,University of Southampton,Transportation Geotechnics,Publisher desconocido,Scopus,0
Requena-Leal I.,2024-10-01,Article,Universidad de Castilla-La Mancha,Renewable Energy,Publisher desconocido,Scopus,1
Reybrouck M.,2024-09-01,Review,KU Leuven,Behavioral Sciences,Publisher desconocido,Scopus,0
Rezaei M.,2024-11-01,Article,Murdoch University,European Journal of Agronomy,Publisher desconocido,Scopus,0
Richa ,2025-02-05,Article,Panjab University,Journal of Molecular Structure,Publisher desconocido,Scopus,0
Riebe J.,2024-12-01,Article,Universität Duisburg-Essen,Communications Chemistry,Publisher desconocido,Scopus,0
Riemer K.,2024-12-01,Article,The University of Sydney Business School,International Journal of Information Management,Publisher desconocido,Scopus,1
Rincon-Flores E.G.,2024-12-01,Article,Universidad de Salamanca,Smart Learning Environments,Publisher desconocido,Scopus,1
Ritz T.,2024-10-01,Editorial,Southern Methodist University,Biological Psychology,Publisher desconocido,Scopus,0
Robledo-Castro C.,2024-12-01,Article,Universidad del Tolima,MethodsX,Publisher desconocido,Scopus,1
Rodemann J.,2024-09-27,Article,Ludwig-Maximilians-Universität München,Knowledge-Based Systems,Publisher desconocido,Scopus,2
Rohimah S.M.,2024-10-01,Article,Universitas Pasundan,Journal of Engineering Science and Technology,Publisher desconocido,Scopus,0
Romero-Castillo R.,2024-10-01,Article,Universidad de Sevilla,Nurse Education in Practice,Publisher desconocido,Scopus,0
Roslizan N.D.,2025-08-01,Article,Universiti Malaysia Perlis,Journal of Advanced Research in Applied Sciences and Engineering Technology,Publisher desconocido,Scopus,0
Rossi C.,2024-12-01,Article,Kennedy Krieger Institute,npj Science of Learning,Publisher desconocido,Scopus,0
Royse E.A.,2024-12-01,Article,Aims Community College,Humanities and Social Sciences Communications,Publisher desconocido,Scopus,0
Ruhayati Y.,2025-06-01,Article,Universitas Pendidikan Indonesia,Journal of Advanced Research in Applied Sciences and Engineering Technology,Publisher desconocido,Scopus,0
Rui M.,2025-01-01,Article,Università degli Studi di Torino,Journal of Retailing and Consumer Services,Publisher desconocido,Scopus,0
Rule J.S.,2024-12-01,Article,"University of California, Berkeley",Nature Communications,Publisher desconocido,Scopus,0
Ruppelt D.,2024-12-01,Article,Georg-August-Universität Göttingen,Nature Communications,Publisher desconocido,Scopus,2
Rutter L.A.,2024-12-01,Article,"Faculty of Medicine, University of Tsukuba",Nature Communications,Publisher desconocido,Scopus,2
Rydz E.,2024-12-01,Article,The University of British Columbia,BMC Public Health,Publisher desconocido,Scopus,0
Rzeszutek M.,2024-10-01,Article,University of Warsaw,Journal of Happiness Studies,Publisher desconocido,Scopus,0
Réthi-Nagy Z.,2024-09-10,Review,Hungarian Centre of Excellence for Molecular Medicine (HCEMM),Journal of Biotechnology,Publisher desconocido,Scopus,0
Saariluoma P.,2024-12-01,Article,University of Jyväskylä,Discover Artificial Intelligence,Publisher desconocido,Scopus,0
Sadeghi M.,2024-12-01,Article,Shiraz University of Medical Sciences,Molecular Brain,Publisher desconocido,Scopus,0
Sahoo K.,2024-12-01,Review,Vellore Institute of Technology,Computational and Structural Biotechnology Journal,Publisher desconocido,Scopus,0
Saihi A.,2024-12-01,Article,American University of Sharjah,Computers and Education: Artificial Intelligence,Publisher desconocido,Scopus,0
Saitis C.,2024-09-18,Conference Paper,Queen Mary University of London,ACM International Conference Proceeding Series,Publisher desconocido,Scopus,0
Sajdeya R.,2024-10-01,Review,Duke University School of Medicine,Current Opinion in Anaesthesiology,Publisher desconocido,Scopus,0
Salahshoori I.,2024-09-15,Review,"Islamic Azad University, Science and Research Branch",Journal of Molecular Liquids,Publisher desconocido,Scopus,3
Salahuddin N.S.,2024-11-01,Article,Gunadarma University,International Journal of Reconfigurable and Embedded Systems,Publisher desconocido,Scopus,0
Sandoval-Arrayga C.J.,2024-12-01,Article,Centro de Investigacion y de Estudios Avanzados del Instituto Politécnico Nacional,Cognitive Systems Research,Publisher desconocido,Scopus,0
Santamaria L.,2024-12-01,Article,College of Biomedical and Life Sciences,Communications Biology,Publisher desconocido,Scopus,1
Sarasso P.,2024-12-01,Review,Università degli Studi di Torino,Physics of Life Reviews,Publisher desconocido,Scopus,0
Sarifah I.,2025-02-01,Article,Universitas Negeri Jakarta,Journal of Education and Learning,Publisher desconocido,Scopus,0
Sarvade V.P.,2024-10-01,Article,Visvesvaraya Technological University,Applied Intelligence,Publisher desconocido,Scopus,0
Sat-Muñoz D.,2024-09-01,Review,UMAE Hospital de Especialidades Centro Medico Nacional Siglo XXI,International Journal of Molecular Sciences,Publisher desconocido,Scopus,0
Savin I.,2024-12-01,Review,IE Business School,Ecological Economics,Publisher desconocido,Scopus,0
Sazhin D.,2024-10-01,Article,Temple University,Biological Psychology,Publisher desconocido,Scopus,0
Scala A.,2024-12-01,Article,Università degli Studi di Napoli Federico II,BMC Medical Research Methodology,Publisher desconocido,Scopus,0
Schreiber C.,2024-11-01,Article,Karlsruher Institut für Technologie,Information Systems,Publisher desconocido,Scopus,0
Scott A.E.,2024-09-24,Article,University College London,Proceedings of the ACM on Human-Computer Interaction,Publisher desconocido,Scopus,0
Secci D.,2024-11-15,Article,Università di Parma,Science of the Total Environment,Publisher desconocido,Scopus,0
Septiawan H.,2025-02-01,Article,Universitas Lampung,Journal of Education and Learning,Publisher desconocido,Scopus,0
Sha'ban M.,2024-10-01,Article,Al-Zaytoonah University of Jordan,Research in International Business and Finance,Publisher desconocido,Scopus,0
Shahmohammad M.,2024-10-01,Review,Michigan State University,Sustainable Cities and Society,Publisher desconocido,Scopus,1
Shaker L.M.,2024-12-01,Review,Universiti Kebangsaan Malaysia,Discover Nano,Publisher desconocido,Scopus,7
Shang H.,2024-10-01,Article,University of Oregon,Mathematical Geosciences,Publisher desconocido,Scopus,0
Shaon M.S.H.,2024-12-01,Article,Daffodil International University,Healthcare Analytics,Publisher desconocido,Scopus,0
Shapira I.,2024-09-30,Book,Tel Aviv University,"Israeli National Intelligence Culture: Problem-Solving, Exceptionalism, and Pragmatism",Publisher desconocido,Scopus,0
Sharifi E.,2025-01-01,Article,Aalborg University,Computers in Industry,Publisher desconocido,Scopus,0
Shcherbakova O.,2024-12-01,Article,Max-Planck-Institut für Evolutionäre Anthropologie,Scientific Reports,Publisher desconocido,Scopus,1
Shen M.,2024-12-01,Article,Pritzker School of Molecular Engineering,npj Computational Materials,Publisher desconocido,Scopus,0
Shi D.,2025-02-01,Article,Fraunhofer Institute for Manufacturing Engineering and Automation IPA,Robotics and Computer-Integrated Manufacturing,Publisher desconocido,Scopus,0
Shi M.,2024-10-01,Article,The Hong Kong Polytechnic University,Journal of Computational Design and Engineering,Publisher desconocido,Scopus,0
Shtrepi L.,2024-11-01,Article,Politecnico di Torino,Building and Environment,Publisher desconocido,Scopus,0
Shugars S.,2024-12-01,Note,Rutgers University–New Brunswick,EPJ Data Science,Publisher desconocido,Scopus,0
Siikonen M.L.,2024-12-01,Article,Aalto University,European Journal of Operational Research,Publisher desconocido,Scopus,0
Simonsen S.,2024-12-01,Review,Københavns Universitet,Cellular and Molecular Life Sciences,Publisher desconocido,Scopus,0
Singh G.,2024-12-01,Article,"Chitkara University, Punjab",Smart Learning Environments,Publisher desconocido,Scopus,0
Sinha A.,2024-12-01,Article,NC State College of Engineering,Nature Communications,Publisher desconocido,Scopus,0
Siripol P.,2024-10-01,Article,Siam Technology College,International Journal of Evaluation and Research in Education,Publisher desconocido,Scopus,0
Slabbert D.,2024-12-01,Article,Stellenbosch University,Quantum Machine Intelligence,Publisher desconocido,Scopus,0
Smalle E.H.M.,2024-10-01,Article,Universiteit Gent,Cortex,Publisher desconocido,Scopus,0
So W.Y.,2024-12-01,Article,UCL Faculty of Arts &amp; Humanities,Minds and Machines,Publisher desconocido,Scopus,0
Sobchuk O.,2024-12-01,Article,Max-Planck-Institut für Evolutionäre Anthropologie,Humanities and Social Sciences Communications,Publisher desconocido,Scopus,0
Song H.,2024-12-01,Article,Henan University of Economics and Law,BMC Medical Education,Publisher desconocido,Scopus,0
Sophan K.,2024-10-01,Article,"Faculty of Medicine Ramathibodi Hospital, Mahidol University",Pacific Rim International Journal of Nursing Research,Publisher desconocido,Scopus,0
Soubeyrand S.,2024-12-01,Review,Biostatistique et Processus Spatiaux (BioSP),CABI Agriculture and Bioscience,Publisher desconocido,Scopus,0
Souza A.C.,2024-12-01,Article,Universidade Federal do Rio Grande do Norte,Scientific Reports,Publisher desconocido,Scopus,0
Sparaci L.,2024-09-23,Book Chapter,"Istituto Di Scienze E Tecnologie Della Cognizione, Rome","Gestures: Approaches, Uses, and Developments",Publisher desconocido,Scopus,0
Spence M.A.,2024-12-01,Article,Centre for the Environment Fisheries and Aquaculture Science,Fisheries Research,Publisher desconocido,Scopus,0
Spoladore D.,2024-12-01,Article,Consiglio Nazionale delle Ricerche,Computational and Structural Biotechnology Journal,Publisher desconocido,Scopus,0
Sporrer J.K.,2024-10-02,Article,Max Planck UCL Centre for Computational Psychiatry and Ageing Research,Behavioural Brain Research,Publisher desconocido,Scopus,0
Stark P.,2024-12-01,Article,Eberhard Karls Universität Tübingen,Scientific Reports,Publisher desconocido,Scopus,1
Stavropoulos A.,2024-10-01,Article,University of Waterloo,Behavior Research Methods,Publisher desconocido,Scopus,0
Stecher R.,2024-12-01,Article,Justus-Liebig-Universität Gießen,Scientific Reports,Publisher desconocido,Scopus,1
Stefan K.,2024-12-01,Data Paper,Rikshospitalet-Radiumhospitalet HF,Scientific Data,Publisher desconocido,Scopus,4
Sterk F.,2024-12-01,Article,Karlsruher Institut für Technologie,Electronic Markets,Publisher desconocido,Scopus,2
Stockinger E.,2024-12-01,Article,ETH Zürich,Scientific Reports,Publisher desconocido,Scopus,0
Strumila R.,2024-10-01,Review,Université de Montpellier,European Neuropsychopharmacology,Publisher desconocido,Scopus,0
Sugianto I.M.,2024-10-01,Article,Institut Teknologi Sepuluh Nopember,Research in Transportation Business and Management,Publisher desconocido,Scopus,0
Sui Z.,2024-12-01,Article,University of Rochester,Scientific Reports,Publisher desconocido,Scopus,0
Sukhobokov A.,2024-12-01,Article,SAP SE,Cognitive Systems Research,Publisher desconocido,Scopus,0
Sukhoverkhov A.V.,2024-11-01,Article,Kuban State Agrarian University,Language Sciences,Publisher desconocido,Scopus,0
Sumargono ,2024-10-01,Article,Universitas Lampung,International Journal of Evaluation and Research in Education,Publisher desconocido,Scopus,0
Sun D.,2024-12-01,Article,Hangzhou Normal University,International Journal of Educational Technology in Higher Education,Publisher desconocido,Scopus,9
Sun H.,2024-12-01,Article,Tongji University,Tunnelling and Underground Space Technology,Publisher desconocido,Scopus,0
Sun X.,2024-10-01,Article,Southern Medical University,International Journal of Gynecology and Obstetrics,Publisher desconocido,Scopus,1
Sun X.,2024-10-01,Review,Beihang University,Progress in Materials Science,Publisher desconocido,Scopus,1
Sun Y.,2024-12-01,Article,Tsinghua University,BMC Medicine,Publisher desconocido,Scopus,0
Sundh J.,2024-12-01,Review,Uppsala Universitet,Humanities and Social Sciences Communications,Publisher desconocido,Scopus,0
Sungchasit R.,2024-12-01,Article,Phuket Rajabhat University,Scientific Reports,Publisher desconocido,Scopus,0
Sunil A.,2024-11-01,Article,Indian Institute of Technology Bombay,Journal of Hydrology,Publisher desconocido,Scopus,0
Suo L.,2024-10-01,Article,University of Regina,International Journal of Approximate Reasoning,Publisher desconocido,Scopus,2
Suprapto N.,2024-12-01,Review,Universitas Negeri Surabaya,Humanities and Social Sciences Communications,Publisher desconocido,Scopus,0
Suyanto E.,2024-10-01,Article,Universitas Lampung,International Journal of Evaluation and Research in Education,Publisher desconocido,Scopus,0
Swanson L.W.,2024-09-24,Article,University of Southern California,Proceedings of the National Academy of Sciences of the United States of America,Publisher desconocido,Scopus,1
Sánchez E.,2024-10-01,Article,Centro de Investigacion y de Estudios Avanzados del Instituto Politécnico Nacional,Educational Studies in Mathematics,Publisher desconocido,Scopus,0
Sánchez-Zas C.,2024-10-01,Article,Universidad Politécnica de Madrid,Internet of Things (Netherlands),Publisher desconocido,Scopus,1
Taher S.M.,2025-08-01,Article,University of Technology- Iraq,Journal of Advanced Research in Applied Sciences and Engineering Technology,Publisher desconocido,Scopus,0
Tajrian M.,2024-09-15,Article,Charles Sturt University,Heliyon,Publisher desconocido,Scopus,0
Takács R.,2024-12-01,Article,Eötvös Loránd Tudományegyetem,Humanities and Social Sciences Communications,Publisher desconocido,Scopus,0
Tan X.,2024-10-01,Article,Northwestern Polytechnical University,Thin-Walled Structures,Publisher desconocido,Scopus,7
Tan X.,2024-12-01,Article,Beijing Normal University,Smart Learning Environments,Publisher desconocido,Scopus,0
Tang J.,2024-10-30,Review,Ningbo University,Food Chemistry: X,Publisher desconocido,Scopus,2
Tang S.,2024-12-01,Article,Beijing Normal University,Scientific Reports,Publisher desconocido,Scopus,0
Tanna H.P.,2024-11-01,Article,The Maharaja Sayajirao University of Baroda,Inorganic Chemistry Communications,Publisher desconocido,Scopus,0
Tariq R.,2024-12-01,Article,Tecnológico de Monterrey,Scientific Reports,Publisher desconocido,Scopus,0
Tellnes L.G.F.,2024-11-01,Article,HØgskolen i Østfold,Sustainable Production and Consumption,Publisher desconocido,Scopus,0
Thakar H.,2024-12-01,Review,Charotar University of Science &amp; Technology,Social Network Analysis and Mining,Publisher desconocido,Scopus,0
Thedin R.,2024-12-01,Article,National Renewable Energy Laboratory,Movement Ecology,Publisher desconocido,Scopus,0
Thille P.,2024-12-01,Article,University of Manitoba,BMC Primary Care,Publisher desconocido,Scopus,0
Thominet L.,2024-10-01,Article,Florida International University,Journal of Technical Writing and Communication,Publisher desconocido,Scopus,0
Thomsen M.R.,2024-11-08,Book Chapter,"Royal Danish Academy – Architecture, Design, Conservation",3D Printing for Construction in the Transformation of the Building Industry,Publisher desconocido,Scopus,0
Tianyi L.,2025-01-01,Article,Guangzhou Medical University,Entertainment Computing,Publisher desconocido,Scopus,0
Tiwari A.S.,2024-12-01,Article,Indian Institute of Technology Kharagpur,Smart Learning Environments,Publisher desconocido,Scopus,6
Togun H.,2024-10-01,Review,University of Baghdad,Renewable and Sustainable Energy Reviews,Publisher desconocido,Scopus,2
Tong S.,2024-12-01,Article,Tsinghua University,Humanities and Social Sciences Communications,Publisher desconocido,Scopus,0
Topçu M.S.,2024-10-01,Article,Yıldız Teknik Üniversitesi,Journal of Science Education and Technology,Publisher desconocido,Scopus,0
Traficante S.,2024-12-01,Article,Università degli studi di Bari Aldo Moro,Accident Analysis and Prevention,Publisher desconocido,Scopus,0
Tramonti F.,2024-10-01,Article,Istituto di Psicoterapia Relazionale,Journal of Evaluation in Clinical Practice,Publisher desconocido,Scopus,1
Tran Nhat D.,2024-12-01,Article,Technische Universität Berlin,Electronic Markets,Publisher desconocido,Scopus,0
Trentin C.,2024-12-01,Review,University of Florida Institute of Food and Agricultural Sciences,Smart Agricultural Technology,Publisher desconocido,Scopus,0
Tripathi S.,2024-12-01,Article,"University of Applied Sciences Upper Austria, School of Management",Journal of Big Data,Publisher desconocido,Scopus,2
Tsiodra I.,2024-11-15,Article,Institute of Chemical Engineering Sciences,Science of the Total Environment,Publisher desconocido,Scopus,0
Tsochev G.,2024-09-01,Article,Technical University of Sofia,Systems,Publisher desconocido,Scopus,0
Tsou H.T.,2024-09-03,Article,"Soochow University, Taipei",Marketing Intelligence and Planning,Publisher desconocido,Scopus,0
Tung A.,2024-12-01,Article,Tufts University,Nature Communications,Publisher desconocido,Scopus,1
Uba J.,2024-11-01,Article,"College of Engineering, Architecture and Technology",Applied Ergonomics,Publisher desconocido,Scopus,0
Uda S.K.,2024-12-01,Article,Universitas Palangka Raya,Uncertain Supply Chain Management,Publisher desconocido,Scopus,19
Upadhyay B.,2024-11-01,Review,"Clemson University College of Engineering, Computing and Applied Sciences",Applied Ergonomics,Publisher desconocido,Scopus,0
Urazbayeva G.,2024-09-01,Article,L.N. Gumilyov Eurasian National University,Education Sciences,Publisher desconocido,Scopus,0
Utami I.Q.,2024-10-01,Article,Universitas Airlangga,Journal of Educational Computing Research,Publisher desconocido,Scopus,0
Vaillant-Coindard E.,2024-12-01,Article,APSY-V,BMC Psychology,Publisher desconocido,Scopus,0
Vallortigara G.,2024-09-27,Book,Università di Trento,The Origins of Consciousness: Thoughts of the Crooked-Headed Fly,Publisher desconocido,Scopus,0
Valt C.,2024-11-01,Article,Università degli studi di Bari Aldo Moro,Brain Topography,Publisher desconocido,Scopus,0
Valzolgher C.,2024-12-01,Article,Università di Trento,Cognitive Research: Principles and Implications,Publisher desconocido,Scopus,1
Van Schependom J.,2024-12-01,Article,Vrije Universiteit Brussel,Communications Biology,Publisher desconocido,Scopus,0
Vandenberghe-Descamps M.,2025-01-01,Article,Université Catholique de Lille,Food Quality and Preference,Publisher desconocido,Scopus,0
Vargas-Escobar L.M.,2024-11-01,Review,Universidad El Bosque,Health Policy,Publisher desconocido,Scopus,0
Varriano G.,2024-12-01,Article,Università degli Studi del Molise,Scientific Reports,Publisher desconocido,Scopus,0
Verma P.,2024-10-01,Review,Indian Council of Medical Research,Reproductive Sciences,Publisher desconocido,Scopus,0
Veven ,2024-12-01,Article,Universitas Tanjungpura,International Journal of Evaluation and Research in Education,Publisher desconocido,Scopus,0
Viet N.V.,2024-12-01,Article,Khalifa University of Science and Technology,Composite Structures,Publisher desconocido,Scopus,0
Vigotsky A.D.,2024-10-01,Review,Northwestern University,Trends in Cognitive Sciences,Publisher desconocido,Scopus,0
Villegas-Ch W.,2024-12-01,Article,Universidad de las Americas - Ecuador,International Journal of Computational Intelligence Systems,Publisher desconocido,Scopus,0
Visser L.R.,2024-09-15,Article,Copernicus Institute of Sustainable Development,Applied Energy,Publisher desconocido,Scopus,1
Višnjić-Jevtić A.,2025-01-01,Book Chapter,University of Zagreb,Supporting Early Childhood Practice Through Difficult Times: Looking towards a Better Future,Publisher desconocido,Scopus,0
Wadhwa H.,2025-01-01,Conference Paper,"Chitkara University, Punjab","Next Generation Computing and Information Systems - Proceedings of the 2nd International Conference on Next-Generation Computing and Information Systems, ICNGCIS 2023",Publisher desconocido,Scopus,0
Wang C.,2024-12-01,Article,Universiti Putra Malaysia,Scientific Reports,Publisher desconocido,Scopus,0
Wang D.,2024-12-01,Article,Heilongjiang University,Scientific Reports,Publisher desconocido,Scopus,0
Wang F.,2024-10-01,Article,Chinese University of Hong Kong,System,Publisher desconocido,Scopus,0
Wang H.,2024-10-01,Article,Huazhong University of Science and Technology,Quality and Quantity,Publisher desconocido,Scopus,0
Wang H.H.,2025-07-01,Article,Universiti Malaysia Sarawak,Journal of Advanced Research in Applied Sciences and Engineering Technology,Publisher desconocido,Scopus,0
Wang J.,2024-12-01,Article,Jiangxi University of Finance and Economics,Applied Soft Computing,Publisher desconocido,Scopus,0
Wang J.,2024-12-01,Article,Wuhan Pu Ai Hospital,BMC Medical Education,Publisher desconocido,Scopus,1
Wang J.,2025-02-01,Article,"School of Hotel and Tourism Management, The Hong Kong Polytechnic University",Tourism Management,Publisher desconocido,Scopus,0
Wang K.J.,2024-12-01,Article,National Taiwan University of Science and Technology,Expert Systems with Applications,Publisher desconocido,Scopus,0
Wang L.,2024-12-01,Review,Renmin University of China,Frontiers of Computer Science,Publisher desconocido,Scopus,37
Wang P.,2024-12-01,Article,Shandong Normal University,Humanities and Social Sciences Communications,Publisher desconocido,Scopus,0
Wang R.,2024-09-05,Review,Wuhan University of Technology,Dianwang Jishu/Power System Technology,Publisher desconocido,Scopus,1
Wang R.,2024-11-15,Article,Guangxi University,International Journal of Mechanical Sciences,Publisher desconocido,Scopus,0
Wang S.,2024-10-15,Review,Edwards School of Business,Expert Systems with Applications,Publisher desconocido,Scopus,1
Wang S.,2024-12-01,Article,The First Affiliated Hospital of Soochow University,BMC Psychiatry,Publisher desconocido,Scopus,0
Wang X.,2024-12-01,Article,Southwest University,Communications Biology,Publisher desconocido,Scopus,0
Wang X.,2025-01-01,Article,Renmin University of China,Computers and Security,Publisher desconocido,Scopus,0
Wang Y.,2024-10-20,Article,Yunnan University,Journal of Energy Storage,Publisher desconocido,Scopus,0
Wang Y.,2024-11-01,Article,Zhengzhou University of Light Industry,Computers in Biology and Medicine,Publisher desconocido,Scopus,0
Wang Y.S.,2024-12-01,Data Paper,Beijing Normal University,Scientific Data,Publisher desconocido,Scopus,1
Wang Z.,2024-12-01,Article,Hangzhou Normal University,BMC Psychology,Publisher desconocido,Scopus,0
Wang Z.,2025-01-01,Article,Penn State College of Engineering,Journal of Civil Engineering Education,Publisher desconocido,Scopus,0
Wang Z.,2025-01-15,Article,Central China Normal University,Expert Systems with Applications,Publisher desconocido,Scopus,0
Wei H.,2024-12-01,Article,Dezhou University,Systems and Soft Computing,Publisher desconocido,Scopus,0
Wei J.,2024-11-01,Article,Guangxi Normal University,Neural Networks,Publisher desconocido,Scopus,0
Wei K.,2024-12-01,Article,Southwest Jiaotong University,Advances in Bridge Engineering,Publisher desconocido,Scopus,0
Wei W.,2024-12-01,Article,"Department of Psychology and Behavioral Sciences, Zhejiang University",BMC Psychology,Publisher desconocido,Scopus,0
Wei X.,2024-12-01,Article,"Interfacultair Centrum voor Lerarenopleiding, Onderwijsontwikkeling en Nascholing",International Journal of Educational Technology in Higher Education,Publisher desconocido,Scopus,4
Wen X.,2024-11-01,Article,Chang'an University,Tunnelling and Underground Space Technology,Publisher desconocido,Scopus,0
Weng X.,2024-10-01,Article,The Education University of Hong Kong,Journal of Educational Computing Research,Publisher desconocido,Scopus,1
Wibowo S.,2025-02-01,Article,Universitas Negeri Malang,Journal of Education and Learning,Publisher desconocido,Scopus,0
Wise T.A.,2024-10-01,Article,Cornell University Department of Information Science,Behavior Research Methods,Publisher desconocido,Scopus,0
Wittmayer J.M.,2024-12-01,Article,Erasmus School of Social and Behavioural Sciences,Humanities and Social Sciences Communications,Publisher desconocido,Scopus,0
Wu J.,2025-01-01,Article,Tianjin Normal University,Cognition,Publisher desconocido,Scopus,0
Wu P.,2024-12-01,Article,Southwest Petroleum University China,Applied Soft Computing,Publisher desconocido,Scopus,0
Wu X.,2024-09-30,Article,Tongji University,Internet Research,Publisher desconocido,Scopus,3
Wu Y.,2025-01-01,Article,Universitat de València,Computer Speech and Language,Publisher desconocido,Scopus,0
Wulfert T.,2024-12-01,Article,Universität Duisburg-Essen,Information and Management,Publisher desconocido,Scopus,0
Xiao Q.,2024-11-15,Article,Chongqing Jiaotong University,Expert Systems with Applications,Publisher desconocido,Scopus,0
Xiao Y.,2024-09-30,Review,Hunan Normal University,Heliyon,Publisher desconocido,Scopus,0
Xiao Y.,2024-12-01,Article,Southwest Petroleum University China,International Journal of Computational Intelligence Systems,Publisher desconocido,Scopus,0
Xie J.,2024-12-01,Article,Guizhou University,Scientific Reports,Publisher desconocido,Scopus,1
Xiong W.,2024-11-01,Article,Oulun Yliopisto,Image and Vision Computing,Publisher desconocido,Scopus,0
Xu J.,2024-09-15,Article,Huzhou University,Heliyon,Publisher desconocido,Scopus,0
Xue Y.,2024-12-01,Article,University of Hull,International Journal of Computational Intelligence Systems,Publisher desconocido,Scopus,3
Yadav G.,2024-11-01,Article,Rheinisch-Westfälische Technische Hochschule Aachen,Catalysis Today,Publisher desconocido,Scopus,0
Yan S.H.,2024-10-01,Article,University of Chinese Academy of Sciences,Molecular Phylogenetics and Evolution,Publisher desconocido,Scopus,0
Yang F.,2024-12-01,Article,Guangxi Normal University,Expert Systems with Applications,Publisher desconocido,Scopus,0
Yang H.,2024-11-01,Article,Pennsylvania State University,Journal of Computer-Mediated Communication,Publisher desconocido,Scopus,0
Yang J.,2024-10-01,Article,Sichuan Normal University,Learning and Instruction,Publisher desconocido,Scopus,0
Yang L.,2024-09-18,Article,Jiangxi University of Science and Technology,IET Image Processing,Publisher desconocido,Scopus,0
Yang M.,2024-09-15,Article,Guizhou University,Expert Systems with Applications,Publisher desconocido,Scopus,0
Yang S.,2024-09-15,Review,University of Wisconsin-Madison,Science of the Total Environment,Publisher desconocido,Scopus,2
Yang T.,2024-10-01,Review,Peking Union Medical College Hospital,NeuroImage,Publisher desconocido,Scopus,0
Yang X.,2024-10-01,Article,Sichuan University,Advanced Engineering Informatics,Publisher desconocido,Scopus,0
Yang Y.,2024-09-03,Article,École Polytechnique Fédérale de Lausanne,Journal of Documentation,Publisher desconocido,Scopus,1
Yang Y.,2024-11-01,Article,Beijing University of Technology,Biomedical Signal Processing and Control,Publisher desconocido,Scopus,0
Yang Y.H.,2024-10-06,Article,Xi'an Shiyou University,Tetrahedron Letters,Publisher desconocido,Scopus,0
Ye G.,2024-12-01,Article,East China Normal University,Applied Soft Computing,Publisher desconocido,Scopus,0
Ye Q.,2024-11-05,Article,Zhejiang Normal University,Neuropsychologia,Publisher desconocido,Scopus,0
Yen A.C.,2024-12-01,Article,National Dong Hwa University,Asian-Pacific Journal of Second and Foreign Language Education,Publisher desconocido,Scopus,0
Yeung A.W.K.,2024-09-30,Article,The University of Hong Kong,Heliyon,Publisher desconocido,Scopus,0
Yildiz V.,2025-01-01,Article,The University of Sheffield,Environmental Modelling and Software,Publisher desconocido,Scopus,0
Yin S.,2024-12-05,Article,Nanjing University of Science and Technology,Expert Systems with Applications,Publisher desconocido,Scopus,0
Yin S.,2025-01-01,Review,Guangxi University,Journal of Materiomics,Publisher desconocido,Scopus,1
Yin S.X.,2024-10-01,Article,Wee Kim Wee School of Communication and Information,Journal of Educational Computing Research,Publisher desconocido,Scopus,0
Yong H.,2024-12-01,Article,"Key Laboratory of Virtual Geographic Environment, Ministry of Education",Heritage Science,Publisher desconocido,Scopus,1
Yoshii T.,2024-12-01,Article,Graduate School of Medical Science,Scientific Reports,Publisher desconocido,Scopus,1
Youns A.M.,2024-09-01,Article,Eastern Mediterranean University,Buildings,Publisher desconocido,Scopus,0
Yu K.,2024-12-01,Article,Northwest University,Heritage Science,Publisher desconocido,Scopus,0
Yu N.,2024-12-01,Article,The Hong Kong Polytechnic University,Nano-Micro Letters,Publisher desconocido,Scopus,2
Yu Q.,2024-12-01,Article,Fudan University,Humanities and Social Sciences Communications,Publisher desconocido,Scopus,0
Yu S.,2024-10-01,Article,East China Normal University,Computers and Education,Publisher desconocido,Scopus,1
Yu X.,2024-10-01,Article,Shanghai University of Traditional Chinese Medicine,Experimental Gerontology,Publisher desconocido,Scopus,0
Yu X.,2024-11-01,Article,University of Alberta,Journal of Molecular Graphics and Modelling,Publisher desconocido,Scopus,0
Yuan H.,2024-12-01,Article,Xi'an Jiaotong-Liverpool University,Humanities and Social Sciences Communications,Publisher desconocido,Scopus,0
Yuan M.,2024-11-01,Article,Tsinghua University,Journal of Building Engineering,Publisher desconocido,Scopus,0
Yuan X.,2024-12-01,Article,Gansu University of Political Science and Law,Scientific Reports,Publisher desconocido,Scopus,0
Yun J.Y.,2024-10-01,Review,Seoul National University Hospital,Psychiatry Research,Publisher desconocido,Scopus,0
Yusri R.,2024-10-01,Article,Universiti Malaysia Kelantan,International Journal of Evaluation and Research in Education,Publisher desconocido,Scopus,0
Yusuf A.,2024-12-01,Article,Sokoto State University,Smart Learning Environments,Publisher desconocido,Scopus,0
Yusuf A.,2024-12-01,Article,Sokoto State University,International Journal of Educational Technology in Higher Education,Publisher desconocido,Scopus,8
Yüksel A.O.,2025-01-01,Article,Middle East Technical University (METU),Entertainment Computing,Publisher desconocido,Scopus,0
Zafeer H.M.I.,2024-10-15,Article,Zhejiang Normal University,Heliyon,Publisher desconocido,Scopus,0
Zaidan E.,2024-12-01,Article,"Hamad Bin Khalifa University, College of Law and Public Policy",Humanities and Social Sciences Communications,Publisher desconocido,Scopus,0
